location,zh-tw,en,lat,lon
india,印度,India,22.3511148,78.6677428
shingu-japan,新宮,Shingū,33.7241003,135.9930029
shenyang-china,瀋陽,Shenyang,41.8026095,123.4279105
okinawa-japan,沖繩,Okinawa,26.5707754,128.0255901
jeju-korea,濟州,Jeju,33.4998289,126.5313902
taiwan,台灣,Taiwan,23.9739374,120.9820179
guatemala,瓜地馬拉,Guatemala,15.5855545,-90.345759
nicaragua,尼加拉瓜,Nicaragua,12.3506436,-85.7841006
barbados,巴貝多,Barbados,13.1500331,-59.5250305
caribbean,加勒比海,Caribbean,18.4,-75
serbia,塞爾維亞,Serbia,44.1534121,20.55144
albania,阿爾巴尼亞,Albania,41.000028,19.9999619
north-macedonia,北馬其頓,North Macedonia,41.6171214,21.7168387
kosovo,科索沃,Kosovo,42.583333,21
mt-athos,阿索斯山,Mount Athos,40.158333,24.327222
belgium,比利時,Belgium,50.6402809,4.6667145
greenland,格陵蘭,Greenland,72,-40
washington-usa,華盛頓州,Washington,47,-120
oregon-usa,奧勒岡州,Oregon,43.9792797,-120.737257
oklahoma-usa,奧克拉荷馬州,Oklahoma,34.9550817,-97.2684063
texas-usa,德克薩斯州,Texas,31.2638905,-98.5456116
south-dakota-usa,南達科塔州,South Dakota,44.6471761,-100.348761
wyoming-usa,懷俄明州,Wyoming,43.1700264,-107.568534
tennessee-usa,田納西州,Tennessee,35.7730076,-86.2820081
mississippi-usa,密西西比州,Mississippi,32.9715285,-89.7348497
ohio-usa,俄亥俄州,Ohio,40.2253569,-82.6881395
wisconsin-usa,威斯康辛州,Wisconsin,44.4308975,-89.6884637
north-carolina-usa,北卡羅萊納州,North Carolina,35.6729639,-79.0392919
south-carolina-usa,南卡羅萊納州,South Carolina,33.6874388,-80.4363743
jordan,約旦,Jordan,31,36.5
kingsburg-ca-usa,國王堡,Kingsburg,36.5138398,-119.5538929
brazil,巴西,Brazil,-10.3333333,-53.2
palau,帛琉,Palau,7.5,134.5
west-virginia-usa,西維吉尼亞州,West Virginia,38.4758406,-80.8408415
afghanistan,阿富汗,Afghanistan,33.7680065,66.2385139
virginia-usa,維吉尼亞州,Virginia,37.1232245,-78.4927721
new-york,紐約市,New York,40.68295,-73.9708
vermont-usa,佛蒙特州,Vermont,44.5990718,-72.5002608
new-jersey-usa,紐澤西州,New Jersey,40.0757384,-74.4041622
usa,美國,United States,39.7837304,-100.445882
malaysia,馬來西亞,Malaysia,4.5693754,102.2656823
thailand,泰國,Thailand,14.8971921,100.83273
cambodia,柬埔寨,Cambodia,12.5433216,104.8144914
nevada-usa,內華達州,Nevada,39.5158825,-116.853722
nebraska-usa,內布拉斯加州,Nebraska,41.7370229,-99.5873816
montana-usa,蒙大拿州,Montana,47.3752671,-109.638757
minnesota-usa,明尼蘇達州,Minnesota,45.9896587,-94.6113288
michigan-usa,密西根州,Michigan,43.6211955,-84.6824346
massachusetts-usa,麻薩諸塞州,Massachusetts,42.3788774,-72.032366
kansas-usa,堪薩斯州,Kansas,38.27312,-98.5821872
maine-usa,緬因州,Maine,45.709097,-68.8590201
kentucky-usa,肯塔基州,Kentucky,37.5726028,-85.1551411
iowa-usa,愛荷華州,Iowa,41.9216734,-93.3122705
indiana-usa,印第安納州,Indiana,40.3270127,-86.1746933
illinois-usa,伊利諾州,Illinois,40.0796606,-89.4337288
idaho-usa,愛達荷州,Idaho,43.6447642,-114.015407
georgia-usa,喬治亞州,Georgia,32.3293809,-83.1137366
florida-usa,佛羅里達州,Florida,27.7567667,-81.4639835
delaware-usa,德拉瓦州,Delaware,38.6920451,-75.4013315
maryland-usa,馬里蘭州,Maryland,39.5162401,-76.9382069
connecticut-usa,康乃狄克州,Connecticut,41.6500201,-72.7342163
rhode-island-usa,羅德島州,Rhode Island,41.7962409,-71.5992372
california-usa,加利福尼亞州,California,36.7014631,-118.755997
arkansas-usa,阿肯色州,Arkansas,35.2048883,-92.4479108
arizona-usa,亞利桑那州,Arizona,34.395342,-111.763275
alaska-usa,阿拉斯加州,Alaska,64.4459613,-149.680909
alabama-usa,阿拉巴馬州,Alabama,33.2588817,-86.8295337
washginton-dc-usa,華盛頓特區,Washington DC,39.908631,-86.131949
south-africa,南非,South Africa,-28.8166236,24.991639
lesotho,賴索托,Lesotho,-29.6039267,28.3350193
england,英格蘭,England,52.5310214,-1.2649062
zimbabwe,辛巴威,Zimbabwe,-18.4554963,29.7468414
botswana,波扎那,Botswana,-23.1681782,24.5928742
czechia,捷克,Czechia,49.7439047,15.3381061
mongolia,蒙古,Mongolia,46.8250388,103.8499736
new-york-state-usa,紐約州,New York State,43.1561681,-75.8449946
pennsylvania-usa,賓夕法尼亞州,Pennsylvania,40.9699889,-77.7278831
el-salvador,薩爾瓦多,El Salvador,13.8000382,-88.9140683
tuvalu,吐瓦魯,Tuvalu,-8.6405212,179.1582918
sint-maarten,聖馬丁,Saint Martin,18.0814066,-63.0467131
guyana,蓋亞那,Guyana,4.8417097,-58.6416891
suriname,蘇利南,Suriname,4.1413025,-56.0771187
french-guiana,法屬圭亞那,French Guiana,4.0039882,-52.999998
tokyo-japan,東京,Tokyo,35.6768601,139.7638947
philippines,菲律賓,Philippines,12.7503486,122.7312101
miami-usa,邁阿密,Miami,25.7741566,-80.1935973
utah-usa,猶他州,Utah,39.4225192,-111.714358
belarus,白俄羅斯,Belarus,53.4250605,27.6971358
quebec,魁北克,QC,52.4760892,-71.8258668
canada,加拿大,Canada,61.0666922,-107.991707
northern-ireland,北愛爾蘭,Northern Ireland,54.5859836,-6.9591554
ireland,愛爾蘭,Ireland,52.865196,-7.9794599
taipei,台北,Taipei,25.0375198,121.5636796
silicon-valley,矽谷,Silicon Valley,37.404899,-122.111118
morocco,摩洛哥,Morocco,31.1728205,-7.3362482
azores,亞速群島,Portugal,37.8085565,-25.4731374
spain,西班牙,Spain,39.3260685,-4.8379791
new-mexico-usa,新墨西哥州,New Mexico,34.5802074,-105.996047
taichung-taiwan,台中,Taichung,24.163162,120.6478282
sierra-leone,獅子山,Sierra Leone,8.6400349,-11.8400269
liberia,賴比瑞亞,Liberia,5.7499721,-9.3658524
north-dakota-usa,北達科他州,North Dakota,47.6201461,-100.540737
monaco,摩納哥,Monaco,43.7311424,7.4197576
new-york,紐約市,New York City,43.1561681,-75.8449946
salton-sea,薩爾頓海,Salton Sea,33.31522725,-115.782203
mexicali,墨西卡利,Mexicali,32.6245314,-115.452604
faro-island-sweden,法羅島,Fårö,57.9202761,19.095296
dubai-uae,杜拜,Dubai,25.2296341,55.289585
oman,阿曼,Oman,21.0000287,57.0036901
yucatan-peninsula,猶加敦半島,Yucatan Peninsula,19.34472,-96.36167
mexico,墨西哥,Mexico,23.6585116,-102.0077097
poland,波蘭,Poland,52.215933,19.134422
azerbaijan,亞塞拜然,Azerbaijan,40.3936294,47.7872508
chile,智利,Chile,-31.7613365,-71.3187697
cuba,古巴,Cuba,23.0131338,-80.8328748
taitung,台東,Taitung City,22.7560447,121.1456538
